Feat,Ability Increase,Category,Prerequisite,Repeatable,Description
Polearm Master,Dex | Str,General Feat,"Level 4+, Strength or Dexterity 13+",-,"Bonus attack with polearm butt, opportunity attacks when enemies enter reach."
Protection,-,Fighting Style Feat,Fighting Style Feature,-,"Use reaction to impose disadvantage on attacks targeting nearby allies."
Resilient,Any,General Feat,Level 4+,-,"+1 ability score, proficiency in chosen saving throw."
Ritual Caster,Cha | Int | Wis,General Feat,"Level 4+, Intelligence, Wisdom, or Charisma 13+",-,"Gain ritual casting for spells from chosen class."
Savage Attacker,-,Origin Feat,-,-,"Roll damage twice and choose best result once per turn."
Sentinel,Dex | Str,General Feat,"Level 4+, Strength or Dexterity 13+",-,"Reduce enemy speed to 0, opportunity attacks on disengaging foes, react to attacks on allies."
Shadow-Touched,Cha | Int | Wis,General Feat,Level 4+,-,"+1 ability score, learn invisibility and one 1st-level illusion or necromancy spell."
Sharpshooter,Dex,General Feat,"Level 4+, Dexterity 13+",-,"Ignore cover, no long range penalty, -5 attack for +10 damage."
Shield Master,Str,General Feat,"Level 4+, Shield Training",-,"Add shield to Dex saves, shove as bonus action, block AoE damage."
Skill Expert,Any,General Feat,Level 4+,-,"+1 ability score, proficiency in one skill, expertise in one skill."
Skilled,-,Origin Feat,-,Yes,"Gain proficiency in any 3 skills or tools."
Skulker,Dex,General Feat,"Level 4+, Dexterity 13+",-,"Hide when lightly obscured, no reveal on missed ranged attack, see in dim light."
Slasher,Dex | Str,General Feat,Level 4+,-,"Reduce enemy speed, weaken crits, bonus slashing damage effects."
Speedy,Dex,General Feat,"Level 4+, Dexterity or Constitution 13+",-,"Increase walking speed by 10 feet."
Spell Sniper,Cha | Int | Wis,General Feat,"Level 4+, Spellcasting or Pact Magic Feature",-,"Double spell range, ignore cover, learn additional attack cantrip."
Tavern Brawler,-,Origin Feat,-,-,"Proficient with improvised weapons, grapple as bonus action, increase Str or Con."
Telekinetic,Cha | Int | Wis,General Feat,Level 4+,-,"+1 ability score, mage hand improvements, shove as bonus action."
Telepathic,Cha | Int | Wis,General Feat,Level 4+,-,"+1 ability score, communicate telepathically, detect thoughts spell."
Thrown Weapon Fighting,-,Fighting Style Feat,Fighting Style Feature,-,"Draw and throw weapons without penalty, +2 damage on thrown attacks."
Tough,-,Origin Feat,-,-,"Increase hit points by twice your level."
Two-Weapon Fighting,-,Fighting Style Feat,Fighting Style Feature,-,"Add ability modifier to off-hand attack damage."
Unarmed Fighting,-,Fighting Style Feat,Fighting Style Feature,-,"Deal 1d6 (or 1d8 if not holding weapons) unarmed damage, bonus grapple damage."
War Caster,Cha | Int | Wis,General Feat,"Level 4+, Spellcasting or Pact Magic Feature",-,"Advantage on concentration saves, cast spells as opportunity attacks, cast while holding weapons."
Weapon Master,Dex,General Feat,Level 4+,-,"+1 Dexterity, proficiency in 4 weapons."
