"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"+1 Weapon","DMG'24","324","uncommon","generic variant","","","","","","","You have a +1 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+1 Antimatter Rifle)Automatic Rifle (+1 Automatic Rifle)Axe (+1 Axe)Battle Axe (+1 Battle Axe)Battleaxe (+1 Battleaxe)Bellow Flute (+1 Bellow Flute)Blowgun (+1 Blowgun)Boat Oar (+1 Boat Oar)Boomerang (+1 Boomerang)Butterfly Staff (+1 Butterfly Staff)Candlemaker's Club (+1 Candlemaker's Club)Club (+1 Club)Dagger (+1 Dagger)Dandelion Spear (+1 Dandelion Spear)Dart (+1 Dart)Double-Bladed Scimitar (+1 Double-Bladed Scimitar)Drive Shaft (+1 Drive Shaft)Fan (+1 Fan)Field Spear (+1 Field Spear)Flail (+1 Flail)Frying Pan (+1 Frying Pan)Glaive (+1 Glaive)Greataxe (+1 Greataxe)Greatclub (+1 Greatclub)Greatsword (+1 Greatsword)Halberd (+1 Halberd)Hammer (+1 Hammer)Hand Crossbow (+1 Hand Crossbow)Handaxe (+1 Handaxe)Heavy Crossbow (+1 Heavy Crossbow)Heavy Hammer (+1 Heavy Hammer)Hooked Shortspear (+1 Hooked Shortspear)Hoopak (+1 Hoopak)Hunting Rifle (+1 Hunting Rifle)Iron Tea Kettle (+1 Iron Tea Kettle)Javelin (+1 Javelin)Lance (+1 Lance)Laser Pistol (+1 Laser Pistol)Laser Rifle (+1 Laser Rifle)Light Crossbow (+1 Light Crossbow)Light Hammer (+1 Light Hammer)Light Repeating Crossbow (+1 Light Repeating Crossbow)Lom Lom Dagger (+1 Lom Lom Dagger)Long Sword (+1 Long Sword)Longbow (+1 Longbow)Longsword (+1 Longsword)Mace (+1 Mace)Mattock (+1 Mattock)Maul (+1 Maul)Morningstar (+1 Morningstar)Musket (+1 Musket)Nakudama Bubble Rod (+1 Nakudama Bubble Rod)Pike (+1 Pike)Pistol (+1 Pistol)Quarterstaff (+1 Quarterstaff)Rapier (+1 Rapier)Revolver (+1 Revolver)Scimitar (+1 Scimitar)Secret Stone Sword (+1 Secret Stone Sword)Semiautomatic Pistol (+1 Semiautomatic Pistol)Shepherd Crook (+1 Shepherd Crook)Shortbow (+1 Shortbow)Shortsword (+1 Shortsword)Shotgun (+1 Shotgun)Shovel (+1 Shovel)Sickle (+1 Sickle)Sling (+1 Sling)Spear (+1 Spear)Staff (+1 Staff)Sword (+1 Sword)Tapper Sack (+1 Tapper Sack)Trident (+1 Trident)Umbrella (+1 Umbrella)Vaulter's Axe (+1 Vaulter's Axe)Vertebrae Sword (+1 Vertebrae Sword)War Pick (+1 War Pick)Warhammer (+1 Warhammer)Whip (+1 Whip)Yklwa (+1 Yklwa)"
"+1 Weapon (no damage)","DMG'14","213","uncommon","generic variant","","","","","","","You have a +1 bonus to attack rolls made with this weapon."
"+1 Wraps of Unarmed Power","DMG'24","325","uncommon","wondrous item","","","","","","","While wearing these wraps, you have a +1 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"+1 Wraps of Unarmed Prowess","BMT","69","uncommon","wondrous item","","","","","","","While you're wearing these cloth wraps, your unarmed strikes are considered magical for the purpose of overcoming immunity and resistance to nonmagical attacks and damage, and you gain a +1 bonus to the attack and damage rolls of your unarmed strikes."
"+2 All-Purpose Tool","TCE","119","rare","wondrous item","requires attunement by an artificer","","","","","","This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
"+2 Ammunition","DMG'14","150","rare","ammunition, generic variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical. Base items. This item variant can be applied to the following base items:Arrow (+2 Arrow)Blowgun Needle (+2 Blowgun Needle)Crossbow Bolt (+2 Crossbow Bolt)Energy Cell (+2 Energy Cell)Modern Bullet (+2 Modern Bullet)Renaissance Bullet (+2 Renaissance Bullet)Sling Bullet (+2 Sling Bullet)"
"+2 Ammunition","DMG'24","228","rare","ammunition, generic variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (2,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+2 Arrow)Bolt (+2 Bolt)Energy Cell (+2 Energy Cell)Firearm Bullet (+2 Firearm Bullet)Needle (+2 Needle)Sling Bullet (+2 Sling Bullet)"
"+2 Amulet of the Devout","TCE","119","rare","wondrous item","requires attunement by a cleric or paladin","","","","1 lb.","","This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
"+2 Arcane Grimoire","TCE","120","rare","wondrous item","requires attunement by a wizard","","","","3 lb.","","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
"+2 Armor","DMG'14","152","very rare","generic variant","","","","","","","You have a +2 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+2 Breastplate)Chain Mail (+2 Chain Mail)Chain Shirt (+2 Chain Shirt)Half Plate Armor (+2 Half Plate Armor)Hide Armor (+2 Hide Armor)Leather Armor (+2 Leather Armor)Leather Corslet (+2 Leather Corslet)Leather Shirt (+2 Leather Shirt)Padded Armor (+2 Padded Armor)Plate Armor (+2 Plate Armor)Ring Mail (+2 Ring Mail)Ring-Mail (+2 Ring-Mail)Scale Armour (+2 Scale Armour)Scale Mail (+2 Scale Mail)Spiked Armor (+2 Spiked Armor)Splint Armor (+2 Splint Armor)Studded Leather Armor (+2 Studded Leather Armor)"
"+2 Armor","DMG'24","230","very rare","generic variant","","","","","","","You have a +2 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+2 Breastplate)Chain Mail (+2 Chain Mail)Chain Shirt (+2 Chain Shirt)Half Plate Armor (+2 Half Plate Armor)Hide Armor (+2 Hide Armor)Leather Armor (+2 Leather Armor)Padded Armor (+2 Padded Armor)Plate Armor (+2 Plate Armor)Ring Mail (+2 Ring Mail)Scale Mail (+2 Scale Mail)Splint Armor (+2 Splint Armor)Studded Leather Armor (+2 Studded Leather Armor)"
"+2 Bloodwell Vial","TCE","122","rare","wondrous item","requires attunement by a sorcerer","","","","","","To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
"+2 Dragonhide Belt","FTD","23","rare","wondrous item","requires attunement by a monk","","","","","","This finely detailed belt is made of dragonhide. While wearing it, you gain a +2 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
"+2 Fate Dealer's Deck","BMT","61","very rare","wondrous item","requires attunement by a cleric or paladin","","","","","","The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +2 bonus to spell attack rolls and to your spell save DC.In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. One creature you can see within 30 feet of you either takes radiant damage or regains hit points (your choice) equal to the total."
"+2 Moon Sickle","TCE","133","rare","weapon (Sickle), simple weapon, melee weapon","requires attunement by a druid or ranger","1d4 Slashing","light","","2 lb.","","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"+2 Rhythm-Maker's Drum","TCE","134","rare","wondrous item, instrument","requires attunement by a bard","","","","3 lb.","","While holding this drum, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"+2 Ring of Protection","TDCSR","263","rare","ring","requires attunement","","","","","","You gain a +2 bonus to AC and saving throws while wearing this ring."
"+2 Rod of the Pact Keeper","DMG'14","197","rare","rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your warlock spells.In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest."
"+2 Rod of the Pact Keeper","DMG'24","301","rare","rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
"+2 Shield (*)","DMG'14","200","rare","generic variant","","","","","","","* This generic variant has the same name and source as the item +2 shield.While holding this shield, you have a +2 bonus to AC. This bonus is in addition to the shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+2 Shield)"
"+2 Shield (*)","DMG'24","303","rare","generic variant","","","","","","","* This generic variant has the same name and source as the item +2 Shield.While holding this Shield, you have a +2 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+2 Shield)"
"+2 Studded Leather Armor of Acid Resistance","TDCSR","271","unknown (magic)","light armor","requires attunement","AC 12 + Dex","","","13 lb.","","You have a +2 bonus to AC while wearing this armor.You have resistance to acid damage while you wear this armor.Worn by Scanlan Shorthalt."
"+2 Studded White Dragon Leather Armor of Cold Resistance","TDCSR","267","unknown (magic)","light armor","requires attunement","AC 12 + Dex","","","13 lb.","","You have a +2 bonus to AC while wearing this armor.You have resistance to cold damage while you wear this armor.Worn by Vex'ahlia."
"+2 Wand of the War Mage","DMG'14","212","rare","wand","requires attunement by a spellcaster","","","","1 lb.","","While you are holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack."
"+2 Wand of the War Mage","DMG'24","322","rare","wand","requires attunement by a spellcaster","","","","1 lb.","","While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
"+2 Weapon","DMG'14","213","rare","generic variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+2 Antimatter Rifle)Automatic Pistol (+2 Automatic Pistol)Automatic Rifle (+2 Automatic Rifle)Axe (+2 Axe)Battle Axe (+2 Battle Axe)Battleaxe (+2 Battleaxe)Bellow Flute (+2 Bellow Flute)Blowgun (+2 Blowgun)Boat Oar (+2 Boat Oar)Boomerang (+2 Boomerang)Butterfly Staff (+2 Butterfly Staff)Candlemaker's Club (+2 Candlemaker's Club)Club (+2 Club)Dagger (+2 Dagger)Dandelion Spear (+2 Dandelion Spear)Dart (+2 Dart)Double-Bladed Scimitar (+2 Double-Bladed Scimitar)Drive Shaft (+2 Drive Shaft)Fan (+2 Fan)Field Spear (+2 Field Spear)Flail (+2 Flail)Frying Pan (+2 Frying Pan)Glaive (+2 Glaive)Greataxe (+2 Greataxe)Greatclub (+2 Greatclub)Greatsword (+2 Greatsword)Halberd (+2 Halberd)Hammer (+2 Hammer)Hand Crossbow (+2 Hand Crossbow)Handaxe (+2 Handaxe)Heavy Crossbow (+2 Heavy Crossbow)Heavy Hammer (+2 Heavy Hammer)Hooked Shortspear (+2 Hooked Shortspear)Hoopak (+2 Hoopak)Hunting Rifle (+2 Hunting Rifle)Iron Tea Kettle (+2 Iron Tea Kettle)Javelin (+2 Javelin)Lance (+2 Lance)Laser Pistol (+2 Laser Pistol)Laser Rifle (+2 Laser Rifle)Light Crossbow (+2 Light Crossbow)Light Hammer (+2 Light Hammer)Light Repeating Crossbow (+2 Light Repeating Crossbow)Lom Lom Dagger (+2 Lom Lom Dagger)Long Sword (+2 Long Sword)Longbow (+2 Longbow)Longsword (+2 Longsword)Mace (+2 Mace)Mattock (+2 Mattock)Maul (+2 Maul)Morningstar (+2 Morningstar)Musket (+2 Musket)Nakudama Bubble Rod (+2 Nakudama Bubble Rod)Pike (+2 Pike)Pistol (+2 Pistol)Quarterstaff (+2 Quarterstaff)Rapier (+2 Rapier)Revolver (+2 Revolver)Scimitar (+2 Scimitar)Secret Stone Sword (+2 Secret Stone Sword)Shepherd Crook (+2 Shepherd Crook)Shortbow (+2 Shortbow)Shortsword (+2 Shortsword)Shotgun (+2 Shotgun)Shovel (+2 Shovel)Sickle (+2 Sickle)Sling (+2 Sling)Spear (+2 Spear)Staff (+2 Staff)Sword (+2 Sword)Tapper Sack (+2 Tapper Sack)Trident (+2 Trident)Umbrella (+2 Umbrella)Vaulter's Axe (+2 Vaulter's Axe)Vertebrae Sword (+2 Vertebrae Sword)War Pick (+2 War Pick)Warhammer (+2 Warhammer)Whip (+2 Whip)Yklwa (+2 Yklwa)"
