"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Barrier Peaks Trinket","LLK","7","none","adventuring gear","","","","","","","At any point while the characters are searching through unusual equipment or detritus in the Monastery of the Distressed Body or the city of Daoine Gloine, roll on the following table to determine what they find. Each character finds one Barrier Peaks trinket over the course of the adventure.Barrier Peaks Trinketsd100Trinket01-02A handheld device containing a glowing green gem that darkens when no oxygen is present03-04A foot-long, egg-shaped object made from stitched leather05-06A black metal cylinder that dictates the history of an unknown plant or animal species when held07-08A cylindrical jar containing a pickled crustacean of unknown origin09-10A small thumb-button storage cylinder that releases a useless iron key when pressed11-12An unusual heraldic cloak pin that emits a short musical fanfare when tapped13-14A handheld tube that sucks in dust when squeezed and captures it in a detachable compartment15-16A scintillating disk of unknown material17-18A dial that can be twisted to slowly click back to its origin, whereupon it emits a loud ringing noise19-20A hovering, apple-sized orb of metal that follows you around21-22The petrified cocoon of an unknown insect23-24A bronze gauntlet set with many slots, and which violently expels any object pressed into those slots25-26A box that plays an illusory message in an unknown language when opened27-28A rod that causes you to forget the last five minutes when you press a button near its tip29-30A palm-sized cylinder that emits a harmless ray of glowing blue light when squeezed31-32A bead that suppresses your hearing when secreted inside either ear, causing you to be deafened33-34An amulet that displays your current health as a green bar above your head, with the bar retracting as your hit point total decreases35-36A casket containing one hundred tasteless blue pills that produce no discernible effect when swallowed37-38A metal mechanical puzzle with no apparent solution39-40A metal spinning top that never tips over when spun41-42Two strips of cloth-like material, each coated with a soft, hair-like fuzz on one side43-44A simple wire pyramid that preserves any foodstuffs it is placed over45-46A star chart labeled in an unknown script47-48A rectangle of black glass that displays indecipherable arcane runes when you swipe your finger across it49-50A schematic that shows the inner workings of an impossibly complex device51-52An odd pair of comfortable shoes made from supple, multicolored material53-54A mirror that makes you appear more beautiful when you tap your reflection55-56A mechanical metal puppy that playfully follows you around when activated57-58A talking bracelet that speaks only to correct your grammar59-60A bar of soap that can remove any stain61-62A journal in Common, written by someone in a world similar to but not quite the same as your own63-64A tub containing one serving of disgusting but nutritious goop that refills itself slowly over the course of one week65-66An instruction manual for activating a mysterious, world-destroying device67-68A small supple disk that displays weird moving symbols when placed over either eye69-70A tiny desk set with large, colorful buttons, each of which plays a discordant musical fanfare when pressed71-72A pair of tinted spectacles that reduce the glare of the sun when worn73-74An inflatable bedroll made from an unknown material, and which slowly deflates when used75-76A rod tipped with a blunt metal pincer whose grip can be adjusted by turning a screw77-78A battered helmet with a transparent orange visor that flips into place when donned79-80An animated map of a mysterious city that appears to be tracking the movements of five creatures81-82A cylinder of mist that holds your hair perfectly in shape when sprayed onto your head83-84A talking wand that tells you the name of any plant you point it at85-86A metal bracelet that displays the number of steps you've taken since your last long rest87-88A tiny handheld device that projects a glowing dot onto whatever you point it at89-90A rectangular piece of glass that displays a twelve-digit countdown on its surface91-92A wall chart of mysterious formulae arranged into a color-coded grid93-94A handheld device that solves any math problem you input using its buttons95-96A ball of speckled brown fur that appears to be alive97-98A complicated crystal board game that you don't know how to play99-00A large glass rectangle that displays a storm of black and white patterns when you press a button on its underside"
"Basic Fishing Equipment","AAG","21","none","adventuring gear","","","","","","1 sp","Basic Fishing Equipment includes a pole, a line, a hook, and either a lure or some bait.Fishing is a popular pastime in Wildspace and the Astral Sea, though this activity isn't possible aboard a ship that is moving faster than its flying speed. At the end of each hour spent fishing, a character can make a DC 15 Wisdom (Survival) check. A failed check indicates no fish is caught during that hour. On a successful check, roll a d10 and consult the Fishing table to determine the catch.d10Catch1-2Tiny, inedible fish (a creature that consumes it is poisoned for 1 hour)3-5Tiny, edible fish (feeds one person)6-8Small, edible fish (feeds up to four people)9Hostile space eel (see Boo's Astral Menagerie; feeds up to twelve people)10Hostile gray scavver (see Boo's Astral Menagerie; feeds up to twenty people), some other creature of the DM's choosing, or an Tiny object of the DM's choosing"
"Basic Poison","PHB'24","227","none","adventuring gear, poison","","","","","","100 gp","As a Bonus Action, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra 1d4 Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first."
"Basket","PHB'24","224","none","adventuring gear","","","","","2 lb.","4 sp","A Basket holds up to 40 pounds within 2 cubic feet."
"Battleaxe","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d8 Slashing","Versatile (1d10)","Mastery: Topple","4 lb.","10 gp","Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Bedroll","PHB'24","224","none","adventuring gear","","","","","7 lb.","1 gp","A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Bell","PHB'24","224","none","adventuring gear","","","","","","1 gp","When rung as a Utilize action, a Bell produces a sound that can be heard up to 60 feet away."
"Birdpipes","SCAG","124","none","instrument","","","","","","","Pan pipes or satyr pipes, also known as the shalm, these are sacred to Lliira and popular with wood elf and wild elf bards.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Bit and bridle","PHB'14","157","none","tack and harness","","","","","1 lb.","2 gp",""
"Biza's Breath","JttRC","70","none","adventuring gear, poison (inhaled)","","","","","","","A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or become poisoned for 1 minute. The poisoned creature must use its action to make a melee attack against a randomly determined creature within its reach. If there is no other creature within its reach, the poisoned creature does nothing on its turn. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
"Black Ghost Orchid Seed","JttRC","212","none","adventuring gear","","","","","","","Every few years, a ghost orchid colony grows a black pod as thick as a human fist that holds three soft, black seeds. A creature that consumes one of these black seeds is affected by the spell feign death. If the creature is unaware of the pod's effects or does not wish to be affected, it can resist the effect by succeeding on a DC 16 Constitution saving throw. Otherwise, it is considered to be a willing recipient of the spell."
"Black Sap","EGW","152","none","adventuring gear","","","","","","300 gp","This tarry substance harvested from the dark boughs of the death's head willow is a powerful intoxicant. It can be smoked as a concentrate or injected directly into the bloodstream. A creature subjected to a dose of black sap cannot be charmed or frightened for 1d6 hours.For each dose of black sap consumed, a creature must succeed on a DC 15 Constitution saving throw or become poisoned for 2d4 hours—an effect that is cumulative with multiple doses."
"Blanket","PHB'24","224","none","adventuring gear","","","","","3 lb.","5 sp","While wrapped in a blanket, you have Advantage on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Blasting Powder","EGW","225","none","adventuring gear","","","","","","","This volatile alchemical powder comes in a small pouch. When ignited by an open flame or a fuse, the powder explodes. Each creature within 5 feet of the exploding pouch must make a DC 13 Dexterity saving throw, taking 3d6 bludgeoning damage on a failed save, or half as much damage on a successful one.A character can bind multiple pouches of blasting powder together so they explode at the same time. Each additional pouch increases the damage by 1d6 (maximum of 10d6) and the blast radius by 5 feet (maximum of 20 feet)."
"Blight Ichor","EGW","152","none","adventuring gear","","","","","","200 gp","This bitter chartreuse concoction is distilled from a fungus native to the Blightshore badlands. The sickly green liqueur harbors potent psychedelic properties. Provided it is neither a construct nor undead, a creature subjected to a dose of blight ichor gains advantage on Intelligence and Wisdom checks, as well as vulnerability to psychic damage, for 1 hour. For each dose of blight ichor consumed, the creature must succeed on a DC 15 Constitution saving throw or become poisoned for 1d6 hours and suffer the effects of a confusion spell for 1 minute. An undead creature subjected to a dose of blight ichor gains advantage on all Dexterity checks and is immune to the frightened condition for 1 hour."
"Block and Tackle","PHB'24","224","none","adventuring gear","","","","","5 lb.","1 gp","A Block and Tackle allows you to hoist up to four times the weight you can normally lift."
"Blood of the Lycanthrope","IMR","93","none","poison (injury)","","","","","","","This poison is created from blood harvested from a dead or incapacitated lycanthrope in its animal or hybrid form. A creature subjected to this poison must succeed on a DC 12 Constitution saving throw or be cursed with lycanthropy (see the Monster Manual). The curse lasts until removed by the remove curse spell or similar magic.The type of lycanthropy depends on the lycanthrope used to create the poison. To determine the type of lycanthropy randomly, roll a d6:d6Lycanthropy1-3Wererat4-5Werewolf6Wereboar"
"Blowgun","PHB'24","215","none","weapon, martial weapon, ranged weapon","","1 Piercing","Ammunition (Range 25/100 ft.; Needle), Loading","Mastery: Vex","1 lb.","10 gp","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Bolt","PHB'24","222","none","ammunition","","","","","1.2 oz.","5 cp","Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Bolts (20)","PHB'24","222","none","ammunition","","","","","1½ lb.","1 gp","Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Bomb","DMG'24","73","none","explosive","","","","","1 lb.","100 gp","As an action, you can light a Bomb and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one."
"Bombard","AAG","26","none","vehicle (space)","","Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 12, AC 15, HP 300, Damage Threshold 20","","","","50,000 gp","Bombards are built by giff. The major feature of each ship is an enormous cannon that fires massive cannon balls capable of blowing other ships to smithereens. (The cannon is included in the cost of the ship.) A bombard can carry up to fourteen giant cannon balls, each of which weighs 10 tons. These cannon balls make up most of the weight of the ship's cargo. A winch mounted on the aft deck is used to load the cannon balls on board.A bombard can float and sail on water, but it can't land safely on the ground (its keel would cause it to roll on its side)."
"Book","PHB'24","224","none","adventuring gear","","","","","5 lb.","25 gp","A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence (Arcana, History, Nature, or Religion) checks you make about that topic."
"Bread (loaf)","PHB'24","231","none","food and drink","","","","","","2 cp",""
"Breastplate","PHB'24","219","none","medium armor","","AC 14 + Dex (max 2)","","","20 lb.","400 gp",""
"Brewer's Supplies","PHB'24","220","none","artisan's tools","","","","","9 lb.","20 gp","Ability: IntelligenceUtilize: Detect poisoned drink (DC 15), or identify alcohol (DC 10)Craft: AntitoxinArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Bucket","PHB'24","224","none","adventuring gear","","","","","2 lb.","5 cp","A Bucket holds up to half a cubic foot of contents."
"Bullseye Lantern","PHB'24","226","none","adventuring gear","","","","","2 lb.","10 gp","A Bullseye Lantern burns Oil as fuel to cast Bright Light in a 60-foot Cone and Dim Light for an additional 60 feet."
"Burglar's Pack","PHB'24","224","none","adventuring gear","","","","","47½ lb.","16 gp","A Burglar's Pack contains the following items: Backpack, Ball Bearings, Bell, 10 Candles, Crowbar, Hooded Lantern, 7 flasks of Oil, 5 days of Rations, Rope, Tinderbox, and Waterskin."
"Burnt Othur Fumes","DMG'24","90","none","adventuring gear, poison (inhaled)","","","","","","500 gp","A creature subjected to Burnt Othur Fumes must succeed on a DC 13 Constitution saving throw or take 10 (3d6) Poison damage, and it must repeat the save at the start of each of its turns. On each successive failed save, the creature takes 3 (1d6) Poison damage. After three successful saves, the poison ends."
"Calligrapher's Supplies","PHB'24","220","none","artisan's tools","","","","","5 lb.","10 gp","Ability: DexterityUtilize: Write text with impressive flourishes that guard against forgery (DC 15)Craft: Ink, Spell ScrollArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Caltrop","PHB'14","151","none","adventuring gear","","","","","1.6 oz.","5 cp","As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
"Caltrops","PHB'24","224","none","adventuring gear","","","","","2 lb.","1 gp","As a Utilize action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 15 Dexterity saving throw or take 1 Piercing damage and have its Speed reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops."
"Camel","PHB'24","229","none","mount","","Speed: 50, Carrying Capacity: 450 lb.","","","","50 gp",""
"Candle","PHB'24","224","none","adventuring gear","","","","","","1 cp","For 1 hour, a lit Candle sheds Bright Light in a 5-foot radius and Dim Light for an additional 5 feet."
"Canoe","ToA","31","none","vehicle (water)","","Speed: 2 mphCarrying Capacity: 6 passengersCrew 1, AC 11, HP 50","","","100 lb.","50 gp","A canoe can be purchased in Port Nyanzaru for 50 gp. It holds up to six Medium creatures and has a maximum speed of 2 mph. It is otherwise identical to a rowboat. Crew. A ship needs a crew of skilled hirelings to function. As per the Player's Handbook, one skilled hireling costs at least 2 gp per day. The minimum number of skilled hirelings needed to crew a ship depends on the type of vessel.You can track the loyalty of individual crew members or the crew as a whole using the optional loyalty rules in chapter 4 of the Dungeon Master's Guide. If at least half the crew becomes disloyal during a voyage, the crew turns hostile and stages a mutiny. If the ship is berthed, disloyal crew members leave the ship and never return. Passengers. This indicates the number of Small and Medium passengers the ship can accommodate.Accommodations consist of shared hammocks in tight quarters. A ship outfitted with private accommodations can carry one-fifth as many passengers.A passenger is usually expected to pay 5 sp per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 gp per day. Cargo. The maximum tonnage the ship can carry. Damage Threshold. If a ship has a Damage Threshold, it has immunity to all damage unless it takes an amount of damage equal to or greater than its damage threshold, in which case it takes damage as normal. Any damage that fails to meet or exceed the damage threshold is considered superficial and doesn't reduce the ship's hit points. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 hit point of damage requires 1 day and costs 20 gp for materials and labor."
"Canvas (1 sq. yd.)","DMG'24","213","none","trade good","","","","","","1 sp","Merchants commonly exchange trade goods without using currency."
"Carpenter's Tools","PHB'24","220","none","artisan's tools","","","","","6 lb.","8 gp","Ability: StrengthUtilize: Seal or pry open a door or container (DC 20)Craft: Club, Greatclub, Quarterstaff, Barrel, Chest, Ladder, Pole, Portable Ram, TorchArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Carriage","PHB'24","230","none","vehicle (land)","","","","","600 lb.","100 gp",""
"Carrion Crawler Mucus","DMG'24","90","none","adventuring gear, poison (contact)","","","","","","200 gp","A creature subjected to Carrion Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success."
"Cart","PHB'24","230","none","vehicle (land)","","","","","200 lb.","15 gp",""
"Cartographer's Tools","PHB'24","220","none","artisan's tools","","","","","6 lb.","15 gp","Ability: WisdomUtilize: Draft a map of a small area (DC 15)Craft: MapArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Catapult Munition","SCC","174","unknown","adventuring gear","","","","","","","A catapult munition roughly the size and weight of a cannonball.The munition can be thrown up to 30 feet and explodes on impact. Any creature within a 15-foot-radius sphere centered on the point of impact must make a DC 14 Dexterity saving throw, taking 35 (10d6) fire damage on a failed save, or half as much damage on a successful one. In addition, each object in that area that isn't being worn or carried takes 35 (10d6) fire damage."
