name,Ability Score Increase,Age,Alignment,Size,Speed,Features, Languages,SkillProfToChooseFrom/Choose
"Changeling (Vampire)","Dex +2, Cha +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nVampiric Bite: Natural weapon (1d4 piercing, Con mod to attack/damage); advantage on attacks with bite when at half HP or less; on hit, regain HP or gain bonus to next check/attack equal to damage; uses PB/long rest.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Changeling (Warforged)","Con +2, Cha +1","Mature by 15, live around a century.","Usually neutral.","Medium","30 ft.","Changeling Instincts: Proficiency with two of Deception, Insight, Intimidation, Persuasion.\nShapechanger: As an action, change appearance and voice.\nUnsettling Visage: Reaction to impose disadvantage on attack.\nDivergent Persona: Proficiency with one tool or skill.\nWarforged Resilience: Advantage on saves against being poisoned, resistance to poison damage, and immunity to disease.\nIntegrated Protection: AC = 13 + Dex mod if not wearing armor.\nSpecialized Design: Gain two tool proficiencies of your choice.","Common, two other languages of your choice","Deception, Insight, Intimidation, Persuasion/2"
"Corvum (Dusk)","Int +2","Adult at 18, lifespan ~70 years.","Prefer lawful, often neutral","Medium","30 ft.","Glide: Use reaction to slow fall, glide short distances, no fall damage.\nTalons: Unarmed strikes deal 1d4 piercing, advantage on Athletics to climb.\nLearned: Proficiency in Arcana, History, Nature, or Religion.\nAppraising Eye: Action to appraise magical properties and value, once per rest.","Common, Auran","Arcana, History, Nature, Religion/1"
"Corvum (Kindled)","Int +2, Dex +1","Adult at 18, lifespan ~70 years.","Prefer lawful, often neutral","Medium","30 ft.","Glide: Use reaction to slow fall, glide short distances, no fall damage.\nTalons: Unarmed strikes deal 1d4 piercing, advantage on Athletics to climb.\nLearned: Proficiency in Arcana, History, Nature, or Religion.\nAppraising Eye: Action to appraise magical properties and value, once per rest.\nSkulker: Advantage on Stealth in dim light or darkness.\nStreet Smarts: Proficiency in Insight.","Common, Auran","Arcana, History, Nature, Religion/1"
"Corvum (Kindled Alt)","Int +2, Cha +1","Adult at 18, lifespan ~70 years.","Prefer lawful, often neutral","Medium","30 ft.","Glide: Use reaction to slow fall, glide short distances, no fall damage.\nTalons: Unarmed strikes deal 1d4 piercing, advantage on Athletics to climb.\nLearned: Proficiency in Arcana, History, Nature, or Religion.\nAppraising Eye: Action to appraise magical properties and value, once per rest.\nConvincing: Proficiency in Deception or Persuasion; advantage on Charisma checks to convince on topics related to Learned skill.\nSharp Mind: Learn one language, proficiency in a tool, perfect recall for one month.","Common, Auran","Arcana, History, Nature, Religion/4"
"Custom Lineage","Choose any +2","Mature at same rate as humans, live a few years longer.","Usually neutral.","Small or Medium","30 ft.","Feat: Gain one feat of your choice.\nVariable Trait: Gain darkvision 60 ft or proficiency in one skill.\nFlexible appearance and origin.\nSize Choice: Small or Medium.","Common, one extra language of your choice","/0"
"Dara (Blue)","Choose any +2, Choose any other +1","Fully functional in 1 month, average lifespan ~100 years.","Usually neutral.","Medium","30 ft.","Awakened Skills: Proficiency in three skills of your choice.\nCreate Talisman: Create magical talismans with various effects, once per long rest.\nSacred Revelation: Absorb information from magical glyphs.\nImpart Knowledge: At 10th level, create glyphs to impart messages.\nKnowledge Talisman: Once per day, create a talisman to add d6 to an ability check.","Common, one extra language of your choice","/0"
"Dara (Red)","Choose any +2, Choose any other +1","Fully functional in 1 month, average lifespan ~100 years.","Usually neutral.","Small","25 ft.","Awakened Skills: Proficiency in three skills of your choice.\nCreate Talisman: Create magical talismans with various effects, once per long rest.\nSacred Revelation: Absorb information from magical glyphs.\nImpart Knowledge: At 10th level, create glyphs to impart messages.\nMight Talisman: Once per day, create a talisman to add d6 to a saving throw.","Common, one extra language of your choice","/0"
"Aarakocra","Dex +2, Wis +2","Maturity at 3, lifespan up to 30 years.","Usually good, tribal leaders lawful, explorers chaotic.","Medium","20 ft., fly 50 ft.","Dive Attack: If you are flying and dive at least 30 ft. straight toward a target and then hit it with a melee weapon attack, the attack deals an extra 1d6 damage to the target.\nTalons: You are proficient with your unarmed strikes, which deal 1d4 slashing damage on a hit.","Common, Auran","/0"
"Aarakocra (EEPC)","Dex +2, Wis +1","Maturity at 3, lifespan up to 30 years.","Usually good, tribal leaders lawful, explorers chaotic.","Medium","25 ft., fly 50 ft.","Flight: Flying speed 50 feet, can't use in medium/heavy armor.\nTalons: Natural weapons, unarmed strikes deal 1d4 + Strength modifier slashing damage.\nSize: About 5 feet tall, 80-100 lbs.","Common, Auran","/0"
"Aarakocra (MPMM)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Maturity at 3, lifespan up to 30 years.","Usually good, tribal leaders lawful, explorers chaotic.","Medium","30 ft., fly 30 ft.","Flight: Flying speed equal to walking speed, can't use in medium/heavy armor.\nTalons: Unarmed strikes deal 1d6 + Strength modifier slashing damage.\nWind Caller: At 3rd level, cast gust of wind once per long rest (Int/Wis/Cha).","Common, Auran","/0"
"Aasimar","Cha +2, Wis +1","Age: Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Celestial Resistance: Resistance to necrotic and radiant damage.\nCelestial Legacy: Light cantrip, lesser restoration at 3rd, daylight at 5th (Charisma is spellcasting ability).","Common, Celestial","/0"
"Aasimar (Fallen)","Cha +2, Str +1","Age: Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually neutral evil.","Medium","30 ft.","Celestial Resistance: Resistance to necrotic and radiant damage.\nHealing Hands: As an action, touch a creature and heal equal to your level. Once per long rest.\nLight Bearer: Know the light cantrip (Charisma is spellcasting ability).\nNecrotic Shroud: At 3rd level, use action to transform, frightening nearby creatures and dealing extra necrotic damage. Once per long rest.","Common, Celestial","/0"
"Aasimar (Protector)","Cha +2, Wis +1","Age: Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Celestial Resistance: Resistance to necrotic and radiant damage.\nHealing Hands: As an action, touch a creature and heal equal to your level. Once per long rest.\nLight Bearer: Know the light cantrip (Charisma is spellcasting ability).\nRadiant Soul: At 3rd level, use action to transform, gain flying speed and deal extra radiant damage. Once per long rest.","Common, Celestial","/0"
"Aasimar (Scourge)","Cha +2, Con +1","Age: Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually neutral.","Medium","30 ft.","Celestial Resistance: Resistance to necrotic and radiant damage.\nHealing Hands: As an action, touch a creature and heal equal to your level. Once per long rest.\nLight Bearer: Know the light cantrip (Charisma is spellcasting ability).\nRadiant Consumption: At 3rd level, use action to transform, shed light and deal extra radiant damage. Once per long rest.","Common, Celestial","/0"
"Hobbit","Dex +2, Con +1","Adventuring Age: Typically 25–60 years, coming of age at 33.","Usually good.","Small","25 ft.","Hobbit-Sense: Advantage on all Intelligence, Wisdom, and Charisma saving throws against Shadow.\nBree-Hobbit Curiosity: Proficiency in Insight.\nPipe-Weed Lore: Proficiency with pipes.\nUnobtrusive: Move through the space of any creature larger than yours.","Common, Halfling","Insight/1"
"Bugbear","Str +2, Dex +1","Adulthood at 16, lifespan up to 80 years.","Usually neutral.","Medium","30 ft.","Long-Limbed: Melee attack reach is 5 feet greater than normal.\nPowerful Build: Count as one size larger for carrying capacity and weight.\nSneaky: Proficient in Stealth.\nSurprise Attack: Extra 2d6 damage on first turn if you surprise a creature, once per combat.","Common, Goblin","Stealth/1"
"Bugbear (ERLW)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Adulthood at 16, lifespan up to 80 years.","Usually neutral.","Medium","30 ft.","Goblinoid: Also considered goblinoid for prerequisites and effects.\nFey Ancestry: Advantage on saving throws to avoid/end charmed.\nLong-Limbed: Melee attack reach is 5 feet greater than normal.\nPowerful Build: Count as one size larger for carrying capacity and weight.\nSneaky: Proficient in Stealth; can move/stop in space for Small creature.\nSurprise Attack: Extra 2d6 damage if target hasn't acted yet in combat.","Common, Goblin","Stealth/1"
"Bugbear (MPMM)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Adulthood at 16, lifespan up to 80 years.","Usually neutral.","Medium","30 ft.","Goblinoid: Also considered goblinoid for prerequisites and effects.\nFey Ancestry: Advantage on saving throws to avoid/end charmed.\nLong-Limbed: Melee attack reach is 5 feet greater than normal.\nPowerful Build: Count as one size larger for carrying capacity and weight.\nSneaky: Proficient in Stealth; can move/stop in space for Small creature.\nSurprise Attack: Extra 2d6 damage if target hasn't acted yet in combat.","Common, Goblin","Stealth/1"
"Bugbear (VGM)","Str +2, Dex +1","Adulthood at 16, lifespan up to 80 years.","Usually neutral.","Medium","30 ft.","Long-Limbed: Melee attack reach is 5 feet greater than normal.\nPowerful Build: Count as one size larger for carrying capacity and weight.\nSneaky: Proficient in Stealth.\nSurprise Attack: Extra 2d6 damage on first turn if you surprise a creature, once per combat.","Common, Goblin","Stealth/1"
"Bullywug","Int -2, Cha -2","Age: Come into being as adults, live about a century.","Usually neutral.","Medium","20 ft., swim 40 ft.","Amphibious: Breathe air and water.\nSpeak with Frogs and Toads: Communicate simple concepts to frogs and toads in Bullywug.\nSwamp Camouflage: Advantage on Stealth checks to hide in swampy terrain.\nStanding Leap: Long jump up to 20 feet, high jump up to 10 feet, with or without running start.","Common, Aquan","/0"
"Centaur","Str +2, Wis +1","Mature and age like humans.","Usually neutral.","Medium","40 ft.","Charge: After moving 30 feet straight and hitting with melee, bonus action attack with hooves.\nHooves: Natural melee weapons, unarmed strikes deal 1d4 + Strength modifier bludgeoning.\nEquine Build: Count as one size larger for carrying capacity and weight; climbing is difficult (4 extra feet per foot).\nSurvivor: Proficiency in Animal Handling, Medicine, Nature, or Survival.","Common, Elvish, Giant","Animal Handling, Medicine, Nature, Survival/1"
"Centaur (MOT)","Str +2, Wis +1","Mature and age like humans.","Usually neutral.","Medium","40 ft.","Charge: After moving 30 feet straight and hitting with melee, bonus action attack with hooves.\nHooves: Natural melee weapons, unarmed strikes deal 1d4 + Strength modifier bludgeoning.\nEquine Build: Count as one size larger for carrying capacity and weight; climbing is difficult (4 extra feet per foot).\nSurvivor: Proficiency in Animal Handling, Medicine, Nature, or Survival.","Common, Elvish, Giant","Animal Handling, Medicine, Nature, Survival/1"
"Centaur (MPMM)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Mature and age like humans.","Usually neutral.","Medium","40 ft.","Charge: After moving 30 feet straight and hitting with melee, bonus action attack with hooves.\nHooves: Unarmed strikes deal 1d6 + Strength modifier bludgeoning.\nEquine Build: Count as one size larger for carrying capacity and weight; climbing is difficult (4 extra feet per foot).\nNatural Affinity: Proficiency in Animal Handling, Medicine, Nature, or Survival.","Common, Elvish, Giant","Animal Handling, Medicine, Nature, Survival/1"
"Cervan","Con +2","Maturity at 12, lifespan 100–150 years.","Pragmatic, flexible, tend toward neutral.","Medium","30 ft.","Practical: Proficiency in Athletics, Medicine, Nature, or Survival.\nSurge of Vigor: Regain 1d12 + Con mod HP if hit for over half HP, once per long rest.","Common, one extra language of your choice","Athletics, Medicine, Nature, Survival/4"
"Cervan (Grove)","Con +2, Dex +1","Maturity at 12, lifespan 100–150 years.","Pragmatic, flexible, tend toward neutral.","Medium","35 ft.","Practical: Proficiency in Athletics, Medicine, Nature, or Survival.\nSurge of Vigor: Regain 1d12 + Con mod HP if hit for over half HP, once per long rest.\nSwift: Walking speed increases to 35 feet.\nStanding Leap: Long jump 30 feet, high jump 15 feet, with or without running start.\nNimble Step: Opportunity attacks against you are at disadvantage.","Common, one extra language of your choice","Athletics, Medicine, Nature, Survival/1"
"Cervan (Pronghorn)","Con +2, Str +1","Maturity at 12, lifespan 100–150 years.","Pragmatic, flexible, tend toward neutral.","Medium","30 ft.","Practical: Proficiency in Athletics, Medicine, Nature, or Survival.\nSurge of Vigor: Regain 1d12 + Con mod HP if hit for over half HP, once per long rest.\nRobust Build: Carrying capacity is doubled.\nAntlers: Unarmed strike to gore, 1d6 + Strength modifier piercing; charge for extra 1d6 and push 10 ft (save vs DC 8 + PB + Str mod).","Common, one extra language of your choice","Athletics, Medicine, Nature, Survival/1"
"Aetherborn (Gifted)","Cha +2, Choose any other two unique +1","Come into being as adults, live only a few years.","Driven by hedonism and self-interest, usually neutral or evil.","Medium","30 ft.","Born of Aether: Resistance to necrotic damage.\nMenacing: Proficiency in Intimidation.\nDrain Life: Natural attack, 1d6 necrotic damage and heal same amount; if not used for 7 days, max HP reduced by 1d6 per week until used and long rest.","Common, one extra language of your choice","/0"
"Astral Elf","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Mature at same rate as humans, live a few years longer.","Usually neutral.","Medium","30 ft.","Astral Fire: Know one cantrip (dancing lights, light, or sacred flame); Int/Wis/Cha as spellcasting ability.\nFey Ancestry: Advantage on saves vs charmed.\nKeen Senses: Proficiency in Perception.\nStarlight Step: Bonus action teleport up to 30 ft, PB/long rest.\nAstral Trance: 4-hour trance for long rest, gain proficiency in one skill and one weapon/tool until next long rest.","Common, Elvish","/0"
"Autognome","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Mature at same rate as humans, live a few years longer.","Usually neutral.","Small","30 ft.","Armored Casing: Base AC 13 + Dex if not wearing armor.\nBuilt for Success: Add d4 to attack, ability, or save PB/long rest.\nHealing Machine: Mending spell lets you spend Hit Die to heal; benefit from certain healing spells.\nMechanical Nature: Resistance to poison, immunity to disease, advantage vs paralyzed/poisoned, don't eat/drink/breathe.\nSentry's Rest: 6 hours inactive but conscious for long rest.\nSpecialized Design: Gain two tool proficiencies of your choice.","Common, one extra language of your choice","/0"
"Aven (Serra)","Dex +2, Wis +2","Adulthood late teens, live to 80s.","Inclined toward lawful good.","Medium","25 ft., fly 30 ft.","Flight: Flying speed 30 ft, can't use in medium/heavy armor or if encumbered.\nHawkeyed: Proficiency in Perception; no disadvantage at long range with ranged attacks.","Common, Auran","/0"
"Barding (Dale)","Str +1, Cha +1","Adventuring Age: 18–40 years.","Usually good.","Medium","30 ft.","Archers of Dale: Proficiency with great bow.\nStarting Virtue: Gain one cultural virtue of your choice.\nTrading People: Proficiency in Persuasion.","Common, one extra language of your choice","/0"
"Svirfneblin (Deep Gnome)","Dex +2, Int +1","Mature by 25, live up to 250 years.","Usually neutral good.","Small","25 ft.","Gift of the Svirfneblin: At 3rd level, cast disguise self; at 5th, cast nondetection (no material component), each 1/long rest; can use spell slots; Int/Wis/Cha as spellcasting ability (choose at character creation).\nSuperior Darkvision: 120 ft.\nStone Camouflage: Advantage on Stealth checks to hide in rocky terrain.\nSvirfneblin Magic: Can cast certain spells.\nLanguages: Common, Gnomish, Undercommon.","Common, Gnomish, Undercommon","/0"
"Dhampir","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Come into being as adults, live a few years.","Usually neutral.","Small or Medium","35 ft., climb equal to walking speed","Ancestral Legacy: If replacing a race, keep skill proficiencies and movement speeds; otherwise, gain proficiency in two skills of your choice.\nDeathless Nature: You don't need to breathe.\nSpider Climb: Climb speed equal to walking speed; at 3rd level, move on ceilings with hands free.\nVampiric Bite: Natural weapon (1d4 piercing, Con mod to attack/damage); advantage on attacks with bite when at half HP or less; on hit, regain HP or gain bonus to next check/attack equal to damage; uses PB/long rest.","Common, one extra language of your choice","/0"
"Dragonborn","Str +2, Cha +1","Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Draconic Ancestry: Choose dragon type for breath weapon and resistance.\nBreath Weapon: Action to exhale destructive energy (type/shape per ancestry); DC 8+Con+PB; 2d6 damage (scales with level); 1/short or long rest.\nDamage Resistance: Resistance to damage type of ancestry.","Common, Draconic","/0"
"Dragonborn (PHB'24)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Draconic Ancestry: Choose dragon type for breath weapon and resistance.\nBreath Weapon: Replace one attack with exhalation (15 ft cone or 30 ft line, choose each time); DC 8+Con+PB; 1d10 damage (scales with level); uses PB/long rest.\nDamage Resistance: Resistance to damage type of ancestry.\nDraconic Flight: At 5th level, bonus action to gain fly speed equal to walking speed for 10 min, 1/long rest.","Common, Draconic","/0"
"Dragonborn (Chromatic)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Chromatic Ancestry: Choose chromatic dragon type for breath weapon and resistance.\nBreath Weapon: Replace one attack with exhalation (30 ft line, 5 ft wide); DC 8+Con+PB; 1d10 damage (scales with level); uses PB/long rest.\nDraconic Resistance: Resistance to damage type of ancestry.\nChromatic Warding: At 5th level, action to become immune to ancestry damage type for 1 min, 1/long rest.","Common, Draconic","/0"
"Dragonborn (Draconblood)","Int +2, Cha +1","Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Draconic Ancestry: Choose dragon type for breath weapon.\nBreath Weapon: Action to exhale destructive energy (type/shape per ancestry); DC 8+Con+PB; 2d6 damage (scales with level); 1/short or long rest.\nDamage Resistance: Resistance to damage type of ancestry.\nForceful Presence: Advantage on Intimidation or Persuasion once/short or long rest.","Common, Draconic","/0"
"Dragonborn (Gem)","Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1","Walk hours after hatching, adult at 15, lifespan ~80 years.","Usually good.","Medium","30 ft.","Gem Ancestry: Choose gem dragon type for breath weapon and resistance.\nBreath Weapon: Replace one attack with exhalation (15 ft cone); DC 8+Con+PB; 1d10 damage (scales with level); uses PB/long rest.\nDraconic Resistance: Resistance to damage type of ancestry.\nPsionic Mind: Telepathy to any creature you can see within 30 ft.\nGem Flight: At 5th level, bonus action to gain fly speed equal to walking speed and hover for 1 min, 1/long rest.","Common, Draconic","/0"
"Dwarf (Blue Mountain)","Con +2, Int +1","Adventuring Age: Typically 50–100 years; start adventuring in 50s, retire in 90s.","Usually good.","Medium","25 ft.","Axes of the Dwarves: Proficiency with battle axe, great axe, and mattock.\nEndurance of the Dwarves: Hit point maximum increases by 1, plus 1 per level.\nMake Light of Burdens: Armor doesn't impose disadvantage on fatigue saves; carrying capacity doubled.\nTool Proficiencies: Proficiency with jeweler's, mason's, or smith's tools.","Common, Dwarvish","/0"
"Dwarf (Duergar)","Con +2, Str +1","Adventuring Age: Typically 50–100 years; start adventuring in 50s, retire in 90s.","Usually good.","Medium","25 ft.","Superior Darkvision: 120 ft.\nDuergar Resilience: Advantage on saves vs poison, resistance to poison; advantage vs illusions, charmed, paralyzed.\nDwarven Combat Training: Proficiency with battleaxe, handaxe, light hammer, warhammer.\nTool Proficiency: Smith's, brewer's, or mason's tools.\nStonecunning: Double proficiency on History checks related to stonework.\nDuergar Magic: At 3rd level, cast enlarge (self only); at 5th, cast invisibility (self only), 1/long rest, not in sunlight; Int is spellcasting ability.\nSunlight Sensitivity: Disadvantage on attack rolls and Perception in sunlight.","Common, Dwarvish","/0"
"Dwarf (Erebor)","Con +2, Cha +1","Adventuring Age: Typically 50–100 years; start adventuring in 50s, retire in 90s.","Usually good.","Medium","25 ft.","Axes of the Dwarves: Proficiency with battle axe, great axe, and mattock.\nEndurance of the Dwarves: Hit point maximum increases by 1, plus 1 per level.\nMake Light of Burdens: Armor doesn't impose disadvantage on fatigue saves; carrying capacity doubled.\nTool Proficiencies: Proficiency with jeweler's, mason's, or smith's tools.\nWrights of the Mountain: If already proficient with chosen tools, double proficiency; double proficiency on Old Lore checks for jewelry, metal, or stonework.","Common, Dwarvish","/0"
